GoingRank,DistanceRank,GoingDistRank,CourseRank,TotalWinsRank,PercentageTotalRank,ORRank,TSRank,RPRRank,JockeyPercentageRank,TrainerPercentageRank,Rank,AverageRank,Odds,IsWinner,Profit
3,3,3,2,1,4,9,5,10,2,5,5,4.54,34,0,-1
6,8,6,2,6,8,3,2,1,6,3,5,4.54,6.5,0,-1
5,4,5,1,2,1,7,4,9,6,6,4,4.38,17,0,-1
6,9,6,2,9,9,1,10,10,6,3,11,5.92,29,0,-1
6,9,6,2,9,9,3,1,6,6,6,8,4.92,34,0,-1
1,1,1,2,4,2,7,7,3,3,2,1,3.31,29,0,-1
6,5,5,2,6,6,4,2,8,6,7,7,4.62,3.75,1,2.75
1,3,2,2,2,2,3,8,2,1,1,1,2.62,3.25,0,-1
3,4,4,1,1,4,2,1,2,3,5,3,2.77,3.75,0,-1
1,1,1,2,2,1,4,7,1,5,7,1,2.62,7,0,-1
6,5,5,2,6,6,8,4,5,6,3,8,4.92,8,0,-1
9,9,9,9,9,9,1,1,1,4,1,1,4.92,1.22,1,0.21999999999999997
9,9,9,9,9,9,2,5,4,2,4,4,5.69,10,0,-1
9,9,9,9,9,9,2,2,3,1,2,2,5.31,7,0,-1
9,9,9,9,9,9,2,7,6,3,6,6,6.31,151,0,-1
9,9,9,9,9,9,2,3,2,4,5,3,5.46,41,0,-1
9,9,9,9,9,9,2,4,4,4,6,5,6.23,13,0,-1
9,9,9,9,9,9,2,6,7,4,3,6,6.31,151,0,-1
4,3,3,9,4,6,4,6,1,8,3,4,4.15,1.4,1,0.3999999999999999
9,8,9,4,6,9,7,8,6,7,5,8,6.08,26,0,-1
7,5,7,4,2,5,9,5,8,5,5,7,5.15,29,0,-1
6,1,2,9,3,7,5,1,5,1,1,2,3.69,6,0,-1
2,6,4,6,7,4,1,2,4,3,5,3,4.08,8,0,-1
2,10,6,3,8,3,1,6,2,4,5,4,4.15,17,0,-1
10,9,10,8,4,10,10,9,10,6,4,10,7.38,23,0,-1
6,5,5,5,7,6,1,4,3,1,5,3,3.77,19,1,18
4,3,3,4,3,4,3,2,6,6,2,3,3.77,15,0,-1
2,1,2,3,1,3,1,7,1,4,1,1,2.23,2,0,-1
1,2,1,2,2,1,8,8,8,7,5,2,3.62,19,0,-1
6,7,5,5,8,8,10,11,8,2,5,10,6.54,51,0,-1
6,7,5,5,8,8,7,1,3,7,5,8,5.31,4,0,-1
6,7,5,5,8,8,3,5,3,7,5,7,5.23,19,0,-1
6,5,5,5,5,6,3,2,2,7,5,5,4.23,5.5,0,-1
5,4,4,5,5,5,8,9,8,5,4,9,5.38,51,0,-1
3,6,3,9,6,6,7,4,2,3,1,7,4.38,12,1,11
2,1,2,9,1,2,2,3,6,2,5,2,3,3.5,0,-1
3,5,3,9,4,5,2,4,6,1,2,3,3.54,4.5,0,-1
1,1,1,9,1,1,1,1,1,4,2,1,2,2.75,0,-1
3,3,3,9,4,3,6,2,3,4,5,5,3.85,8.5,0,-1
7,8,7,5,8,8,6,7,3,4,6,8,5.38,6,1,5
3,3,3,5,3,5,6,6,7,6,6,6,4.38,12,0,-1
6,5,5,5,5,6,2,1,1,8,6,4,4.08,5,0,-1
1,4,2,2,1,2,3,4,1,3,4,1,2.54,4.33,0,-1
7,7,7,5,7,7,1,7,3,2,3,7,4.46,8.5,0,-1
4,2,3,3,2,3,4,2,5,1,4,2,3.08,9,0,-1
2,1,1,1,4,1,8,5,7,7,2,3,3.62,5.5,0,-1
5,6,6,3,6,4,5,3,5,5,1,5,4.15,15,0,-1
1,3,2,1,2,1,3,3,6,5,2,2,2.38,7,1,6
6,2,2,3,5,5,1,3,1,3,2,4,2.85,3.5,0,-1
3,3,2,3,5,4,1,2,1,4,2,3,2.54,2.75,0,-1
5,3,2,3,4,6,6,1,3,6,1,6,3.46,3.75,0,-1
4,3,2,1,2,3,5,6,5,1,2,5,3.08,34,0,-1
2,1,1,3,1,2,4,5,3,2,2,1,2.08,29,0,-1
6,6,6,5,4,6,8,2,2,2,4,4,4.31,3.5,1,2.5
2,4,3,3,3,3,1,2,1,6,1,2,2.85,3.25,0,-1
8,8,8,8,9,9,3,8,6,6,2,8,5.85,7,0,-1
3,9,7,6,8,5,4,7,2,6,4,6,5.23,8,0,-1
3,3,4,2,5,2,8,8,10,4,4,4,4.31,34,0,-1
1,1,1,1,2,1,5,6,4,4,4,1,2.77,13,0,-1
7,5,5,7,7,7,6,2,6,6,3,7,5.46,17,0,-1
8,10,8,8,10,10,7,5,8,1,4,9,6.23,12,0,-1
8,7,8,8,6,8,2,10,8,6,4,10,6.46,17,0,-1
3,2,2,4,1,4,10,1,4,2,4,3,3.15,23,0,-1
5,5,6,2,3,2,5,6,5,5,4,3,3.85,4.33,1,3.33
8,9,8,5,9,9,2,5,5,7,6,9,6.15,23,0,-1
7,8,7,5,7,7,4,2,2,4,6,7,4.85,17,0,-1
8,9,8,5,9,9,5,2,9,5,5,9,6.15,6,0,-1
3,7,5,3,1,5,8,7,5,1,6,5,4.69,17,0,-1
2,1,2,5,7,3,10,4,5,2,2,2,3.69,5,0,-1
8,6,8,5,6,8,5,7,2,8,6,8,6,41,0,-1
1,4,1,1,2,1,1,1,1,3,1,1,1.54,3.5,0,-1
6,1,4,5,4,6,2,9,2,8,2,4,4.38,8,0,-1
4,1,3,4,4,3,9,10,9,8,6,6,4.77,401,0,-1
6,2,2,2,6,6,7,2,7,6,6,6,4.62,2.5,1,1.5
2,2,2,2,2,3,9,8,8,3,8,4,4,67,0,-1
5,1,1,2,3,2,1,3,1,3,1,1,1.92,6,0,-1
2,2,2,2,4,3,7,4,2,7,3,3,3.77,6.5,0,-1
1,2,2,1,1,1,1,7,2,7,8,2,2.62,15,0,-1
6,2,2,2,6,6,1,9,5,7,4,6,4.62,10,0,-1
6,2,2,2,6,6,12,6,10,7,2,11,5.38,4.5,0,-1
6,2,2,2,6,6,1,11,2,2,8,5,4.15,19,0,-1
6,2,2,2,6,6,6,10,12,1,7,12,5.54,41,0,-1
6,2,2,2,6,6,1,12,5,7,8,9,4.69,151,0,-1
4,2,2,2,4,5,9,5,10,7,8,10,4.85,26,0,-1
1,6,3,4,2,4,7,7,1,4,3,4,3.38,3.75,1,2.75
6,7,6,6,7,7,4,5,5,5,5,6,5.23,5.5,0,-1
3,2,2,2,1,2,6,3,5,6,4,5,3.46,11,0,-1
6,4,6,6,6,6,9,8,9,6,5,9,5.77,151,0,-1
6,7,6,6,7,7,7,9,2,3,5,6,5.23,19,0,-1
5,2,5,5,2,5,4,2,2,2,1,2,3.15,4.5,0,-1
6,7,6,6,7,7,2,1,7,6,5,6,5.23,13,0,-1
1,1,1,1,5,1,2,5,7,6,5,3,3.23,8.5,0,-1
4,5,4,3,2,3,1,4,2,1,2,1,2.46,5.5,0,-1
4,3,3,2,4,4,7,3,8,5,5,8,4.08,3.25,1,2.25
4,3,3,2,4,4,6,7,10,5,5,10,4.85,17,0,-1
4,3,3,2,4,4,1,1,4,5,5,3,2.85,17,0,-1
4,3,3,2,4,4,1,3,2,5,1,1,2.77,2.75,0,-1
4,3,3,2,4,4,1,6,2,5,5,6,3.23,29,0,-1
4,3,3,2,4,4,8,2,9,4,4,9,4.31,8,0,-1
1,1,1,1,1,1,8,8,1,5,5,5,3.15,19,0,-1
3,2,2,2,2,2,1,9,4,2,5,1,2.77,15,0,-1
4,3,3,2,4,4,1,3,7,2,1,4,3.08,11,0,-1
2,3,3,2,3,3,8,9,4,1,3,7,3.69,17,0,-1
5,4,4,1,5,5,7,3,3,7,1,6,4.08,6,1,5
5,4,4,6,6,6,5,6,8,1,4,8,4.62,23,0,-1
2,1,2,4,1,2,1,4,1,3,4,1,2.46,6,0,-1
4,4,4,4,3,4,3,5,7,5,4,4,3.85,29,0,-1
1,2,1,1,2,1,5,2,3,7,4,3,2.69,5.5,0,-1
5,4,4,6,6,6,3,7,3,5,3,6,4.08,2.88,0,-1
3,3,3,1,3,3,8,1,1,2,2,2,2.62,5,0,-1
8,8,7,5,9,9,6,8,10,6,5,10,6.38,67,1,66
8,7,7,5,8,8,2,1,1,5,5,6,5,17,0,-1
1,2,2,5,6,3,1,5,3,1,3,2,3.15,3.25,0,-1
6,4,4,5,5,6,2,10,3,6,2,5,4.15,15,0,-1
7,6,6,2,3,5,4,2,3,3,5,3,4.08,6,0,-1
3,3,3,1,1,2,9,9,6,6,5,3,4.08,29,0,-1
2,1,1,3,1,1,4,2,2,2,1,1,2,3.12,0,-1
4,5,4,4,4,4,9,7,7,6,5,7,5.31,15,0,-1
